               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10248,            0.041746,             0.11065,           0.0017715,            0.027104,           0.0016666,          0.00050199,            0.073839,            0.033767,             0.08798,            0.070283,           0.0033019,           0.0033019
                   1,            0.083418,            0.038033,            0.097182,           0.0045251,            0.060535,           0.0057114,           0.0018517,            0.065253,            0.031796,            0.079601,            0.040217,           0.0065695,           0.0065695
                   2,            0.079256,            0.036173,            0.091636,           0.0047062,             0.07637,            0.008476,           0.0029548,            0.062771,            0.031107,            0.076616,            0.010086,           0.0097712,           0.0097712
                   3,            0.080096,            0.036885,            0.088898,           0.0043732,            0.080216,           0.0074673,           0.0023597,            0.060075,            0.030821,            0.074934,            0.009703,            0.009703,            0.009703
                   4,            0.073338,            0.036589,            0.088551,           0.0056638,             0.10542,             0.01273,           0.0046947,            0.056111,            0.031174,            0.072515,            0.009703,            0.009703,            0.009703
                   5,            0.069577,            0.035442,            0.084868,           0.0059478,             0.11431,            0.013559,           0.0048423,            0.053538,            0.030536,             0.07087,            0.009604,            0.009604,            0.009604
                   6,            0.070232,            0.035225,            0.082192,           0.0064675,             0.12389,            0.014235,           0.0054197,            0.053953,            0.029822,            0.070139,            0.009505,            0.009505,            0.009505
                   7,            0.069973,            0.035562,            0.080381,           0.0079708,             0.15261,            0.019577,           0.0076285,            0.050705,            0.028944,            0.068735,            0.009406,            0.009406,            0.009406
                   8,            0.067819,            0.034573,            0.081343,           0.0080084,             0.15631,            0.020436,           0.0078054,             0.05162,            0.029087,            0.067528,            0.009307,            0.009307,            0.009307
                   9,            0.066085,            0.034306,            0.077981,            0.010068,              0.1822,            0.028809,            0.011063,            0.048891,            0.028627,            0.066621,            0.009208,            0.009208,            0.009208
                  10,            0.064956,            0.034338,            0.076804,           0.0099172,             0.18329,            0.030178,            0.011245,            0.050026,            0.029281,            0.065356,            0.009109,            0.009109,            0.009109
                  11,            0.065449,            0.034231,            0.074537,             0.86295,             0.03628,            0.034161,            0.013936,            0.050566,            0.028688,            0.064047,             0.00901,             0.00901,             0.00901
                  12,            0.066357,            0.033985,            0.074907,             0.84192,            0.038322,            0.038456,            0.012818,            0.051998,             0.02905,             0.06255,            0.008911,            0.008911,            0.008911
                  13,            0.064331,             0.03327,            0.071647,             0.33963,             0.16265,            0.044987,            0.017036,            0.049922,            0.028609,            0.060998,            0.008812,            0.008812,            0.008812
                  14,            0.062909,            0.032802,              0.0724,             0.80275,            0.047369,            0.045259,            0.017466,            0.048413,            0.027698,            0.059878,            0.008713,            0.008713,            0.008713
                  15,            0.062903,            0.032651,            0.069714,             0.81658,            0.050105,            0.056417,            0.020659,             0.04935,            0.028448,            0.058531,            0.008614,            0.008614,            0.008614
                  16,            0.062167,            0.033241,            0.068962,             0.77834,            0.063317,            0.060017,            0.021213,            0.049445,            0.028041,            0.057974,            0.008515,            0.008515,            0.008515
                  17,            0.061543,            0.032507,            0.067232,             0.74441,            0.070144,             0.06973,             0.02615,            0.046761,              0.0279,            0.056227,            0.008416,            0.008416,            0.008416
                  18,            0.060392,            0.033261,            0.065778,             0.75097,            0.076081,            0.071289,            0.026398,            0.047241,            0.027642,            0.055071,            0.008317,            0.008317,            0.008317
                  19,             0.06032,            0.032167,            0.063679,             0.72799,             0.08591,            0.079363,            0.030696,            0.048306,            0.027505,            0.053867,            0.008218,            0.008218,            0.008218
                  20,            0.059935,             0.03221,            0.065208,             0.65936,             0.10155,            0.090723,            0.034198,            0.046657,            0.027152,            0.053027,            0.008119,            0.008119,            0.008119
                  21,            0.060312,            0.031837,            0.063912,             0.72442,             0.10066,            0.088645,            0.034312,            0.046979,            0.027036,            0.052107,             0.00802,             0.00802,             0.00802
                  22,            0.059667,            0.031271,            0.061368,              0.6897,             0.10251,            0.091773,            0.033005,            0.048382,            0.026977,            0.051332,            0.007921,            0.007921,            0.007921
                  23,            0.060497,            0.031717,             0.06097,             0.71021,             0.12221,             0.11325,            0.044392,            0.047629,            0.027023,            0.050027,            0.007822,            0.007822,            0.007822
                  24,            0.059013,            0.032442,             0.06125,             0.69412,             0.13055,             0.11801,            0.046118,            0.046266,             0.02672,            0.048732,            0.007723,            0.007723,            0.007723
                  25,             0.05964,            0.030461,            0.059423,             0.63686,             0.13588,             0.12707,            0.050409,            0.045496,            0.026675,            0.048659,            0.007624,            0.007624,            0.007624
                  26,            0.059558,            0.031361,            0.058628,             0.63045,             0.15454,             0.13616,            0.051369,            0.046725,            0.026736,            0.047608,            0.007525,            0.007525,            0.007525
                  27,            0.058142,            0.031118,            0.057647,             0.62721,             0.15539,             0.14047,            0.055118,            0.045305,            0.026932,            0.046606,            0.007426,            0.007426,            0.007426
                  28,            0.057869,            0.031716,            0.055804,             0.58228,             0.18125,             0.15935,            0.062842,            0.045607,            0.026589,            0.045571,            0.007327,            0.007327,            0.007327
                  29,            0.058543,            0.030651,             0.05534,             0.59779,             0.18824,             0.17341,            0.066083,            0.046362,            0.026449,            0.044621,            0.007228,            0.007228,            0.007228
                  30,            0.057515,            0.030965,            0.053924,             0.59141,             0.19922,             0.17845,            0.063651,             0.04653,            0.026669,            0.043384,            0.007129,            0.007129,            0.007129
                  31,            0.057556,            0.030414,            0.051966,             0.60166,             0.19476,             0.18882,            0.065648,            0.048876,            0.026477,             0.04297,             0.00703,             0.00703,             0.00703
                  32,            0.058685,            0.031196,            0.053012,             0.61718,             0.22369,             0.21507,             0.08135,            0.045463,            0.026362,            0.042088,            0.006931,            0.006931,            0.006931
                  33,            0.057249,            0.030603,            0.051758,             0.60495,             0.21984,             0.21024,            0.078327,            0.046663,            0.026586,             0.04184,            0.006832,            0.006832,            0.006832
                  34,            0.056997,            0.030374,            0.050647,             0.58998,             0.24857,               0.239,            0.093648,            0.045035,            0.026328,            0.040322,            0.006733,            0.006733,            0.006733
                  35,            0.056695,            0.030303,            0.050404,               0.588,             0.24875,             0.24626,            0.098779,            0.043136,            0.026153,            0.039632,            0.006634,            0.006634,            0.006634
                  36,            0.056258,            0.030005,            0.048754,             0.59657,             0.27585,             0.27207,             0.10585,            0.044686,             0.02598,            0.039018,            0.006535,            0.006535,            0.006535
                  37,            0.055638,            0.031008,            0.047848,             0.60537,             0.26612,             0.26728,              0.1064,            0.043404,            0.026188,            0.038318,            0.006436,            0.006436,            0.006436
                  38,            0.057073,            0.030454,            0.047503,             0.59928,              0.2907,             0.30009,             0.11711,             0.04527,            0.026133,            0.037534,            0.006337,            0.006337,            0.006337
                  39,            0.056464,             0.03091,            0.047216,             0.60253,             0.30679,             0.30793,             0.12153,            0.044469,            0.026046,            0.037024,            0.006238,            0.006238,            0.006238
                  40,            0.056438,            0.029969,            0.046232,             0.58674,             0.29754,             0.29667,             0.11788,             0.04513,            0.025879,            0.036784,            0.006139,            0.006139,            0.006139
